Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,40,16.40,17.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.10,17.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,651861,17.40,17.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,652963,7.20,7.20,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,13.20,17.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,648845,16.90,16.90,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.50,7.20,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.30,17.40,0.00,0.00,0.05,0.00,0.00,-181.28,0.00,15.00,0.00,1
T,40,17.00,16.90,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.30,7.20,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.80,17.40,0.00,0.03,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.10,16.90,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.10,7.20,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,12.70,17.40,0.00,0.00,0.05,0.00,-0.04,-184.58,0.00,15.00,0.00,1
T,40,17.30,16.90,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.30,7.20,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,12.40,17.40,0.00,0.00,0.05,0.00,-0.07,-186.67,0.00,15.00,0.00,1
T,40,17.20,16.90,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.20,7.20,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.00,17.40,0.00,-0.01,0.05,0.00,0.39,-177.69,0.00,15.00,0.00,1
S,40,7.10,7.20,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.20,16.90,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.70,17.40,0.00,-0.01,0.05,0.00,0.28,-187.10,0.00,15.00,0.00,1
T,40,17.10,16.90,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.50,7.20,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,13.10,17.40,0.00,-0.01,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.10,16.90,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.50,7.20,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,12.50,17.40,0.00,-0.01,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.30,7.20,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.00,16.90,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,10.40,17.40,0.00,-0.00,-0.02,0.00,0.09,85.52,0.00,15.00,0.00,1
T,40,17.00,10.00,1.00,0.00,-0.02,1.00,26.11,72.15,0.00,15.00,0.00,1
S,40,7.20,10.00,-1.00,0.00,-0.02,-1.00,-26.11,69.49,0.00,15.00,0.00,1
L,40,14.50,17.40,0.00,-0.00,0.10,0.00,0.07,-351.87,0.00,15.00,0.00,1
S,40,7.40,10.00,-1.00,-0.03,0.15,-1.00,-31.03,-564.83,0.00,15.00,0.00,1
T,40,16.90,10.00,0.00,0.10,-0.02,0.00,3.25,42.59,0.00,15.00,0.00,1
L,40,14.80,17.40,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.50,10.00,-1.00,-0.12,0.06,-1.00,-34.33,-25.39,0.00,15.00,0.00,1
T,40,17.00,10.00,0.00,0.03,-0.02,0.00,4.35,42.32,0.00,15.00,0.00,1
L,40,11.10,17.40,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.90,10.00,0.00,0.04,-0.02,0.00,3.93,47.30,0.00,15.00,0.00,1
S,40,7.60,10.00,-1.00,-0.27,0.01,-1.00,-35.62,19.48,0.00,15.00,0.00,1
L,40,15.40,17.40,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.60,10.00,0.00,0.03,-0.02,0.00,4.02,52.74,0.00,15.00,0.00,1
S,40,7.70,10.00,-1.00,-0.52,0.03,-1.00,-33.24,-148.74,0.00,15.00,0.00,1
L,40,16.60,17.40,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.40,10.00,0.00,0.03,-0.02,0.00,3.91,52.13,0.00,15.00,0.00,1
S,41,7.80,10.00,-1.00,-0.50,0.00,-1.00,-36.79,2.83,0.00,15.00,0.00,1
L,40,12.00,17.40,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.40,10.00,0.00,0.02,-0.02,0.00,3.81,57.80,0.00,15.00,0.00,1
S,40,7.70,10.00,-1.00,-0.40,0.00,-1.00,-42.25,-42.92,0.00,15.00,0.00,1
L,40,15.30,17.40,0.00,-0.00,0.05,0.00,0.00,-180.36,0.00,15.00,0.00,1
T,40,17.70,10.00,0.00,0.02,-0.02,0.00,3.84,61.36,0.00,15.00,0.00,1
S,40,7.90,10.00,-1.00,-0.45,0.00,-1.00,-44.42,-42.41,0.00,15.00,0.00,1
T,40,17.70,10.00,0.00,0.01,-0.02,0.00,3.85,61.81,0.00,15.00,0.00,1
L,40,11.40,17.40,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,8.00,10.00,-1.00,-0.12,-0.01,-1.00,-56.26,-13.57,0.00,15.00,0.00,1
L,40,17.40,17.40,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.40,10.00,0.00,0.01,-0.02,0.00,3.87,66.92,0.00,15.00,0.00,1
S,40,8.20,10.00,-1.00,-0.13,-0.01,-1.00,-61.01,-33.51,0.00,15.00,0.00,1
L,41,13.10,17.40,0.00,-0.00,0.05,0.00,0.00,-181.05,0.00,15.00,0.00,1
T,40,17.70,10.00,0.00,0.01,-0.02,0.00,3.89,69.20,0.00,15.00,0.00,1
S,40,8.00,10.00,-1.00,-0.08,-0.01,-1.00,-67.53,-24.81,0.00,15.00,0.00,1
L,40,18.80,17.40,0.00,-0.00,0.05,0.00,0.00,-184.02,0.00,15.00,0.00,1
T,40,17.70,10.00,0.00,0.00,-0.02,0.00,3.91,72.24,0.00,15.00,0.00,1
S,40,7.90,10.00,-1.00,-0.06,-0.00,-1.00,-73.22,-36.12,0.00,15.00,0.00,1
L,40,15.70,17.40,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.80,10.00,0.00,0.00,-0.02,0.00,3.92,75.74,0.00,15.00,0.00,1
S,40,8.00,10.00,-1.00,-0.05,-0.01,-1.00,-79.04,-21.16,0.00,15.00,0.00,1
L,40,12.00,17.40,0.00,-0.00,0.05,0.00,0.00,-184.77,0.00,15.00,0.00,1
T,40,17.60,10.00,0.00,0.00,-0.02,0.00,3.92,78.10,0.00,15.00,0.00,1
S,40,8.00,10.00,-1.00,-0.04,0.02,-1.00,-84.89,-125.46,0.00,15.00,0.00,1
L,40,14.10,17.40,0.00,-0.00,0.05,0.00,0.00,-187.45,0.00,15.00,0.00,1
T,40,17.60,10.00,0.00,0.00,-0.02,0.00,3.88,82.53,0.00,15.00,0.00,1
S,40,7.70,10.00,-1.00,-0.34,-0.01,-1.00,-82.58,22.61,0.00,15.00,0.00,1
L,40,13.50,17.40,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.30,10.00,0.00,0.00,-0.02,0.00,3.89,84.13,0.00,15.00,0.00,1
S,40,7.90,10.00,-1.00,-0.60,-0.01,-1.00,-79.63,-7.51,0.00,15.00,0.00,1
L,40,19.80,17.40,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.30,10.00,0.00,0.00,-0.02,0.00,3.89,86.85,0.00,15.00,0.00,1
S,40,7.90,10.00,-1.00,-0.62,0.02,-1.00,-81.49,-120.65,0.00,15.00,0.00,1
L,40,12.60,17.40,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.40,10.00,0.00,0.00,-0.02,0.00,3.90,92.27,0.00,15.00,0.00,1
S,40,8.10,10.00,-1.00,-0.76,-0.01,-1.00,-79.92,38.08,0.00,15.00,0.00,1
L,40,14.30,17.40,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.10,10.00,0.00,-0.01,-0.02,0.00,4.27,92.60,0.00,15.00,0.00,1
S,40,8.10,10.00,-1.00,-0.88,-0.01,-1.00,-78.32,-7.17,0.00,15.00,0.00,1
L,40,14.40,17.40,0.00,-0.00,0.05,0.00,0.00,-182.29,0.00,15.00,0.00,1
T,40,17.20,10.00,0.00,0.01,-0.02,0.00,3.86,93.26,0.00,15.00,0.00,1
S,40,8.10,10.00,-1.00,-0.83,-0.02,-1.00,-80.21,8.49,0.00,15.00,0.00,1
L,40,12.20,17.40,0.00,-0.00,0.05,0.00,0.00,-186.45,0.00,15.00,0.00,1
T,40,17.30,10.00,0.00,0.11,-0.01,0.00,1.18,89.49,0.00,15.00,0.00,1
S,40,8.40,10.00,-1.00,-0.71,-0.02,-1.00,-84.32,17.52,0.00,15.00,0.00,1
L,40,11.50,17.40,0.00,-0.00,0.05,0.00,0.00,-186.51,0.00,15.00,0.00,1
T,40,17.40,10.00,0.00,0.17,-0.01,0.00,-1.01,92.37,0.00,15.00,0.00,1
